IdStradaSecondaria;Tipo;Nome;IdComune
Ss1;Strade Comunali;Via Enrico Fermi ;Co2
Ss2;Strade Comunali;Via Galieo Galilei ;Co2
Ss3;Strade Comunali;Via Bornico;Co2
Ss4;Strade Comunali;Via Marzaghette ;Co2
Ss5;Strade Comunali;Via Claudio Tolomeo ;Co2
Ss6;Strade Comunali;Via Zocco ;Co2
Ss7;Strade Comunali;Via Lucerna ;Co2
Ss8;Strade Comunali;Via Alessandro Volta ;Co2
Ss9;Strade Comunali;Via San Pancrazio ;Co2
Ss10;Strade Comunali;Via per Erbusco ;Co2
Ss11;Strade Comunali;Via per Capriolo ;Co2
Ss12;Strade Comunali;Via del Pomo ;Co2
Ss13;Strade Comunali;Via G. di Vittorio ;Co2
Ss14;Strade Comunali;Via Molinarghe ;Co2
Ss15;Strade Comunali;Via Termini ;Co2
Ss16;Strade Comunali;Via Antonio Gramsci ;Co2
Ss17;Strade Comunali;Via Orti ;Co2
Ss18;Strade Comunali;Via Pezzotti ;Co2
Ss19;Strade Comunali;Via San Michele ;Co2
Ss20;Strade Comunali;Via Fretelli Calabria ;Co2
Ss21;Strade Comunali;Via Camillo Benso Conte di Cavour ;Co2
Ss22;Strade Comunali;Via Guglielmo Marconi ;Co2
Ss23;Strade Comunali;Via Montenero ;Co2
Ss24;Strade Comunali;Via Dante Alighieri ;Co2
Ss25;Strade Comunali;Via Laveni ;Co2
Ss26;Strade Comunali;Via Volpera ;Co2
Ss27;Strade Comunali;Via Battaglia di Legnano ;Co2
Ss28;Strade Comunali;Tangenziale di Via Dosso Oriano ;Co2
Ss29;Strade Comunali;Via Valli ;Co2
Ss30;Strade Comunali;Via Pozzuolo ;Co2
Ss31;Strade Comunali;Via Artiglieri ;Co2
Ss32;Strade Comunali;Via San Martino ;Co2
Ss33;Strade Comunali;Via Piave ;Co2
Ss34;Strade Comunali;Via Sabotino ;Co2
Ss35;Strade Comunali;Via Padania ;Co2
Ss36;Strade Comunali;Via Lazzaretto ;Co2
Ss37;Strade Comunali;Via Carota ;Co2
Ss38;Strade Comunali;Via Sant'Anna ;Co2
Ss39;Strade Comunali;Via Roma ;Co2
Ss40;Strade Comunali;Via Manzoni ;Co2
Ss41;Strade Comunali;Via Giuseppe Mazzini ;Co2
Ss42;Strade Comunali;Vicolo della Salute ;Co2
Ss43;Strade Comunali;Via Umberto I ;Co2
Ss44;Strade Comunali;Via Benedetto Cairoli ;Co2
Ss45;Strade Comunali;Via Francesco Simoni ;Co2
Ss46;Strade Comunali;Via Parzani ;Co2
Ss47;Strade Comunali;Via Brutello ;Co2
Ss48;Strade Comunali;Via Padre Costantini ;Co2
Ss49;Strade Comunali;Via Castello ;Co2
Ss50;Strade Comunali;Via Tullio Dandolo ;Co2
Ss51;Strade Comunali;Via Donatori di Sangue ;Co2
Ss52;Strade Comunali;Via De Gasperi ;Co2
Ss53;Strade Comunali;Via Santo Stefano ;Co2
Ss54;Strade Comunali;Via Colzano ;Co2
Ss55;Strade Comunali;Via Santa Maria ;Co2
Ss56;Strade Comunali;Via Serrandina ;Co2
Ss57;Strade Comunali;Via Nigoline ;Co2
Ss58;Strade Comunali;Via Madonna della Neve ;Co2
Ss59;Strade Comunali;Via per Torbiato;Co2
Ss60;Strade Comunali;Via Santi Faustino e Giovita ;Co2
Ss61;Strade Comunali;Via Aldo Moro ;Co2
Ss62;Strade Comunali;Via Bellavista ;Co2
Ss63;Strade Comunali;Via Lovera ;Co2
Ss64;Strade Comunali;Via Dosso in Torbiato ;Co2
Ss65;Strade Comunali;Via Vittorio Emanuele III;Co2
Ss66;Strade Comunali;Via San Zeno ;Co2
Ss67;Strade Comunali;Via San Pietro ;Co2
Ss68;Strade Comunali;Via Iseo ;Co2
Ss69;Strade Comunali;Via Tre Camini ;Co2
Ss70;Strade Comunali;Via Fenice ;Co2
Ss71;Strade Comunali;Via Poffe ;Co2
Ss72;Strade Comunali;Via Nespolo ;Co2
Ss73;Strade Comunali;Via Gallo ;Co2
Ss74;Strade Comunali;Via Saline ;Co2
Ss75;Strade Comunali;Via Cave ;Co2
Ss76;Strade Comunali;Via Risorgimento ;Co1 
Ss73;Strade Comunali;Via Gallo ;Co1 
Ss77;Strade Comunali;Via Fontane ;Co1
Ss78;Strade Comunali;Via Camillo Benso Conte di Cavour ;Co1 
Ss79;Strade Comunali;Via Broletto ;Co1
Ss80;Strade Comunali;Via Dosso ;Co1
Ss81;Strade Comunali;Via Torre ;Co1
Ss82;Strade Comunali;Via Campagnole ;Co1
Ss83;Strade Comunali;Via Walter Tobagi ;Co1
Ss84;Strade Comunali;Via Cavour ;Co1
Ss85;Strade Comunali;Via Francesco Foresti ;Co1
Ss86;Strade Comunali;Via Stazione ;Co1
Ss87;Strade Comunali;Via Tito Speri ;Co1
Ss88;Strade Comunali;Via Calvarole;Co1 
Ss89;Strade Comunali;Via Calvarole;Co2
Ss57;Strade Comunali;Via Nigoline;Co1
Ss90;Strade Comunali;Via Crocefisso ;Co1
Ss91;Strade Comunali;Via Alcide de Gasperi ;Co1
Ss92;Strade Comunali;Via Mons. G. Bonobelli ;Co1
Ss93;Strade Comunali;Via A. Volta ;Co1
Ss94;Strade Comunali;Via Sant'Eufemia ;Co1
Ss95;Strade Comunali;Via Padre Massimiliano Kolbe ;Co1
Ss96;Strade Comunali;Via Leonardo da Vinci ;Co1
Ss97;Strade Comunali;Via Giulio Pastore ;Co1
Ss98;Strade Comunali;Via Grumi ;Co1
Ss99;Strade Comunali;Via Giovanni Ventireesimo ;Co1
Ss100;Strade Comunali;Via Aldo Moro ;Co1
Ss101;Strade Comunali;Via Nazario Sauro ;Co1
Ss102;Strade Comunali;Via Sant'Afra;Co1
Ss103;Strade Comunali;Via martiri della libertà ;Co1
Ss104;Strade Comunali;Via Don Minzoni ;Co1
Ss105;Strade Comunali;Via Gazzoli ;Co1
Ss106;Strade Comunali;Via Alessandro Manzoni ;Co1
Ss107;Strade Comunali;Via Giuseppe Verdi ;Co1
Ss108;Strade Comunali;Via Luigi di Bernardo ;Co1
Ss109;Strade Comunali;Via dei Carretti ;Co1
Ss110;Strade Comunali;Via dei Ponticelli ;Co1
Ss111;Strade Comunali;Via Fornaci ;Co1
Ss112;Strade Comunali;Via Marco Biagi ;Co1
Ss113;Strade Comunali;Via Gas ;Co1
Ss114;Strade Comunali;Via Torniture ;Co1
Ss115;Strade Comunali;Via Gianfranco Miglio ;Co1
Ss116;Strade Comunali;Strada del Paradiso;Co1
Ss117;Strade Comunali;Via Roma ;Co1
Ss118;Strade Comunali;Via Malpensa ;Co1
Ss119;Strade Comunali;Via Paolo Sesto ;Co1
Ss120;Strade Comunali;Via Seradina ;Co1
Ss121;Strade Comunali;Via Marzabotto ;Co1
Ss122;Strade Comunali;Via Conicchio ;Co1
Ss123;Strade Comunali;Via 11 Settembre 2001 ;Co1
Ss124;Strade Comunali;Via Generale Carlo Alberto Dalla Chiesa ;Co1
Ss125;Strade Comunali;Via Enrico Fermi;Co1
Ss126;Strade Comunali;Via Dieci Giornate ;Co1
Ss127;Strade Comunali;Via Mario Gatti ;Co1
Ss128;Strade Comunali;Via Brescia ;Co1
Ss129;Strade Comunali;Via Cesare Battisti ;Co1
Ss130;Strade Comunali;Via Segaboli ;Co1
