IdVino;TipoVino;Nome;Annata;
V1;Bianco;BIANCO DOC CURTEFRANCA;2020;
V2;Brut;BRUT FRANCIACORTA DOCG;S.A.;
V3;Extra Dry;1875 FRANCIACORTA DOCG EXTRA DRY;S.A.;
V4;Satèn;SATEN FRANCIACORTA DOCG 2018 MILLESIMATO;2018;
V5;Extra Brut;EXTRA BRUT FRANCIACORTA DOCG 2016 MILLESIMATO;2016;
V6;Spumante;CLARO DOSAGGIO ZERO FRANCIACORTA DOCG MILLESIMATO 2016;2016;
V7;Brut Rosè;ROSE' FRANCIACORTA DOCG DONNA ALBERTA 2018 MILLESIMATO;2018;
V8;Bianco Cuvée;PINOT BIANCO CUVEE QUINDICI BIANCO;2015;
V9;Rosso;ROSSO DOC CURTEFRANCA;2015;
V10;Rosso;ROSSO BARRICATO BREDA VIGNA CURTEFRANCA ROSSO;2015;
V11;Rosso;IGT SEBINO PINOT NERO;2015;
V12;Brut;FRANCIACORTA BRUT DOCG;;
V13;Satèn;FRANCIACORTA SATEN DOCG;;
V14;Rosso;"CURTEFRANCA ROSSO ""ZENIGHE"" DOC";2009;
V15;Dosaggio Zero;"FRANCIACORTA DOSAGGIO ZERO RISERVA ""B.C. 2011"" DOCG";2011;
V16;Pas Dosé;"FRANCIACORTA RISERVA PAS DOSE' ""GIROLAMO BOSIO"" DOCG";2011;
V17;Pas Dosé;"PAS DOSE' RISERVA ""GIROLAMO BOSIO"" DOCG";;
V18;Nature;FRANCIACORTA NATURE MILLESIMATO DOCG;;
V19;Rosè;FRANCIACORTA ROSE' MILLESIMATO DOCG;;
V20;Extra Brut;"FRANCIACORTA EXTRA BRUT MILLESIMATO ""BOSCHEDOR"" DOCG";;
V21;Bianco;CURTEFRANCA BIANCO DOC;;
V22;Rosso;CURTEFRANCA ROSSO DOC;;
V23;Brut;FRECCIANERA BRUT FRANCIACORTA DOCG;2018;
V24;Brut;"FRECCIANERA BRUT ""VITTORIA ALATA"" DOCG";2017;
V25;Rosè;FRECCIANERA ROSA FRANCIACORTA DOCG;2018;
V26;Satèn;FRECCIANERA SATEN FRANCIACORTA DOCG;2018;
V27;Nature;FRECCIANERA NATURE FRANCIACORTA DOCG;2018;
V28;Brut;BRUT 25 FRANCIACORTA DOCG;NV;
V29;Brut;CASA DELLE COLONNE BRUT FRANCIACORTA RISERVA DOCG;2013;
V30;Rosso Zero;CASA DELE COLONNE ZERO FRANCIACORTA RISERVA DOCG;2013;
V31;Rosso;MANDOLA CURTEFRANCA ROSSO DOC;2017;
V32;Bianco;CA' BRUSADE CURTEFRANCA BIANCO DOC;2018;
V33;Brut;FRANCIACORTA CUVEE IMPERIALE BRUT;1961;
V34;Cuvée Dosaggio Zero;FRANCIACORTA CUVEE IMPERIALE DOSAGGIO ZERO;2017;
V35;Rosè;FRANCIACORTA CUVEE IMPERIALE MAX ROSE';1962;
V36;Saten;FRANCIACORTA CUVEE IMPERIALE SATEN;2021;
V37;Cuvée;FRANCIACORTA CUVEE IMPERIALE DEMI SEC;1995;
V38;Brut;FRANCIACORTA BERLUCCHI VINTAGE;1987;
V39;Extra Brut;FRANCIACORTA BERLUCCHI '61 EXTRA BRUT;1961;
V40;Rosè;FREANCIACORTA BERLUCCHI '61 ROSE';1961;
V41;Satèn;FRANCIACORTA BERLUCCHI '61 SATEN;1961;
V42;Bianco fermo;FRANCIACORTA MILLESIMATO BERLUCCHI '61 NATURE BLANC DE BLANCS;1961;
V43;Nature Rosè;FRANCIACORTA BERLUCCHI '61 NATURE ROSE';1961;
V44;Nature;FRANCIACORTA BERLUCCHI '61 NATURE ;1961;
V45;;FRANCIACORTA RISERVA PALAZZO LANA EXTREME;2010;
V46;Cuvée;FRANCIACORTA RISERVA CUVEE FRANCO ZILIANI;2008;
V47;Cuvée;FRANCIACORTA MILLESIMATO CUVEE J.R.E. N.6;2008;
V48;Cuvée;FRANCIACORTA MILLESIMATO CUVEE FRANCO ZILIANI 80;2007;
V49;;FRANCIACORTA MILLESIMATO VINTAGE EDIZIONE ARNALDO POMODORO;1995;
V50;;DOS DE LE PORCHE;;
V51;Rosso;EL TAI;;
V52;Bianco fermo;IL SOGNATORE;;
V53;;L'INCOMPRESO;;
V54;Rosso;MERLOTTO;;
V55;Rosso;NIBBIO;;
V56;Rosso;SANTA MARIA;;
V57;;VI DEL DOS;;
V58;Passito;CALVARIO SELEZIONE AUGUSTO;;
V59;;CALVARIO COLLEZION;2016;
V60;;L'ALTERNATIVO COLLEZION;2016;
V61;Rosso;MEDUSA COLLEZION;2019;
V62;;DODICI LUNE;2017;
V63;Rosso;CENTO PER CENTO;2018;
V64;Spumante;DOPPIO ZERO;;
V65;;ESPERIENZA;;
V66;Cuvée;FRANCIACORTA COUVE' N.5;;
V67;;FRANCIACORTA PINONERO;;
V68;Rosè;ROSE' FRANCIACORTA DOCG;;
V69;Saten;FRANCIACORTA SATEN;;
V70;Dosaggio zero;UNICO 2015;;
V71;Dosaggio zero;UNICO 2016;;
V72;;VSQ BARBE NOIR;;
V73;;FRANCIACORTA ZERO;;
V74;Bianco;CURTEFRANCA BIANCO DOC;;
V75;Rosso;CURTEFRANCA ROSSO DOC;;
V76;Brut;FRANCIACORTA BRUT;;
V77;Satèn;FRANCIACORTA SATEN;;
V78;Extra Brut;FRANCIACORTA EXTRA BRUT;;
V79;Rosè;FRANCIACORTA MILLESIMATO ROSE' 2018;2018;
V80;Dosaggio Zero;FRANCIACORTA MILLESIMATO DOSAGGIO ZERO 2018;2018;
V81;Brut;FRANCIACORTA BRUT RISERVA 940 2011;2011;
V82;Rosso;PINO' ROSSO DEL DIAVOLO ALLEGRO 2017 BIO;2017;
V83;Bianco;VINO VARIETALE CHARDONNAY 2018 BIOLOGICO;2018;
V84;Rosè;ROSATO GATO';;
V85;;FRANCIACORTA BIOLOGICO;;
V86;Satèn;FRANCIACORTA SATEN BIOLOGICO;;
V87;Rosè;FRANCIACORTA ROSE';;
V88;Extra Brut;FRANCIACORTA EXTRA BRUT RISERVA 2010;2010;
V89;Spumante;FRANCIACORTA DOSAGGIO ZERO MILLESIMATO 2014;2014;
V90;Nature;"FRANCIACORTA NATURE ""NUDO""";;
V91;Dosaggio Zero;FRANCIACORTA DOSAGGIO MILLESIMATO 2013 ORAZIO;2013;
V92;Brut;DUILIO FRANCIACORTA BRUT;;
V93;Brut Satèn;LUCIA FRANCIACORTA BRUT SATEN;;
V94;Extra Brut;GRETA FRANCIACORTA EXTRA BRUT;;
V95;Brut Rosé;LUISA FRANCIACORTA BRUT ROSE';;
V96;Saten Young;FOREVER YOUNG FRANCIACORTA SATEN;;
V97;Brut Young;FOREVER YOUNG FRANCIACORTA BRUT;;
V98;Rosso;VINT;;
V99;Brut;FRANCIACORTA MILLESIMATO BRUT 2016;2016;
V100;Dosaggio Zero;FRANCIACORTA MILLESIMATO DOSAGGIO ZERO 2014;2014;
V101;Satèn Brut;FRANCIACORTA SATEN MILLESIMATO BRUT;2018;
V102;Rosè;FRANCIACORTA ATHENA ROSE' 2018 MILLESIMATO;2018;
V103;Brut;FRANCIACORTA BRUT;S.A.;
V104;Extra Brut;FRANCIACORTA EXTRA BRUT;S.A.;
V105;Brut;FRANCIACORTA DOCG MILLESIMATO 2010 BRUT;2010;
V106;Satèn;FRANCIACORTA DOCG MILLESIMATO 2009 SATEN;2009;
V107;Zero;FRANCIACORTA DOCG MILLESIMATO 2010 ZERO;2010;
V108;Rosè;FRANCIACORTA DOCG MILLESIMATO 2010 ROSE';2010;
V109;Brut;FRANCIACORTA BRUT RISERVA 1998;1998;
V110;;FRANCIACORTA DOCG BLANC;2018;
V111;;FRANCIACORTA DOCG PINONERO NATURA;;
V112;Brut;FRANCIACORTA DOCG BRUT;;
V113;Rosè;FRANCIACORTA DOCG ROSE';;
V114;Satèn;FRANCIACORTA DOCG SATEN;;
V115;Zero;FRANCIACORTA DOCG ZERO;;
V116;Brut;FRANCIACORTA DOCG BRUT RACE DUCATI CORSE;;
V117;Rosè Cuvée;FRANCIACORTA DOCG MARIELLA ROSE';;
V118;Bianco;CURTEFRANCA BIANCO DOC CURTEFRANCA;;
V119;Brut;FRANCIACORTA BRUT DOCG;;
V120;Satèn Brut;FRANCIACORTA SATEN BRUT DOCG;;
V121;Brut;FRANCIACORTA MILLEDI' BRUT DOCG;;
V122;Extra Brut;FRABCIACORTA EXTRA BRUT DOCG;;
V123;Rosè Brut;FRANCIACORTA ROSE' BRUT DOCG;;
V124;Extra Brut;FRANCIACORTA ERONERO EXTRA BRUT DOCG;;
V125;Pas Dosè;FRANCIACORTA PAS DOSE' DOCG RISERVA 33;2018;
V126;Rosso;CURTEFRANCA ROSSO DOC;2015;
V127;Bianco;CURTEFRANCA BIANCO DOC;2016;
V128;Brut cuvée;PRIMUS FRANCIACORTA BRUT CUVEE;;
V129;Satèn;SATEN FRANCIACORTA MILLESIMATO;;
V130;Dosaggio Zero;MIA DUSAT FRANCIACORTA DOSAGGIO ZERO;;
V131;Brut Vegano;SUL VERT FRANCIACORTA BRUT VEGANO;;
V132;Rosso;CIUSI;;
V133;Rosso;BOLESNA 2004;2004;
V134;Brut;FRANCIACORTA DOCG BRUT;;
V135;Satèn;FRANCIACORTA DOCG SATEN;;
V136;Rosè;FRANCIACORTA DOCG ROSE';;
V137;Dosaggio Zero;MILLESIMATO DOSAGE ZERO';;
V138;Bianco;CURTEFRANCA BIANCO;;
V139;Rosso;CURTEFRANCA ROSSO;;
V140;Rosso;CURTEFRANCA BACCUS;;
V141;Bianco passito;IGT SEBINO BIANCO PASSITO;;
V142;Extra Brut Cuvée;FRANCIACORTA EXTRA BRUT CUVEE';;
V143;;RISERVA CORSINI MARCO;;
V144; Brut Bio;BRUT BIO FRANCIACORTA;S.A.;
V145;Satèn Bio;SATEN BIO FRANCIACORTA BRUT;S.A.;
V146;Rosè Brut Bio;ROSE' RADIJAN BIO FRANCIAOCRTA BRUT;S.A.;
V147;Brut Bio;MILLESIMATO 2016 BIO FRANCIACORTA BRUT;2016;
V148;Brut Nature Bio;NATURE 2017 BIO FRANCIACORTA BRUT NATURE;2017;
V149;Extra Brut;CENTOVENTI 2010 FRANCIACORTA EXTRA BRUT RISERVA;2010;
V150;Brut;SINFONIA NO. 13 FRANCIACORTA BRUT 2008;2008;
V151;;CALINOS;2000, 2001, 2003, 1998, 1997, 1999;
V152;Bianco;LEANT 2021 BIO CURTEFRANCA BIANCO;2021;
V153;Rosso;PONENT 2019 BIO CURTEFRANCA ROSSO;2019;
V154;;L'ARTURO 2019 BIO PINOT NERO DEL SEBINO;2019;
V155;Rosè Extra Brut;BROLESE VILLA CRESPIA FRANCIACORTA ROSE' EXTRA BRUT;;
V156;Brut;NOVALIA VILLA CRESPIA FRANCIACORTA BRUT;;
V157;Brut;MIOLO VILLA CERSPIA FRANCIACORTA BRUT;;
V158;Dosaggio Zero;NUMEROZERO VILLA CRESPIA FRANCIACORTA DOSAGGIO ZERO;;
V159;Dosaggio Zero;CISIOLO VILLA CRESPIA FRANCIACORTA DOSAGGIO ZERO;;
V160;Satèn;CESONATO VILLA CRESPIA FRANCIACORTA SATEN;;
V161;Dosaggio Zero;RISERVA DEL GELSO FRANCIACORTA RISERVA DOSAGGIO ZERO;;
V162;Brut Biologico;SIMBIOTICO VILLA CRESESPIA FRANCIACORTA BRUT BIOLOGICO;;
V163;Brut;MILLE' VILLA CRESPIA FRANCIACORTA BRUT MILLESIMATO;;
V164;Brut;RISERVA MILLE' FRANCIACORTA RISERVA BRUT;;
V165;Brut;FRANCIACORTA DOCG BRUT CLARABELLA;vendemmia 2015;
V166;Saten;FRANCIACORTA DOCG SATEN CLARABELLA;vendemmia 2015;
V167;;FRANCIACORTA DOCG NON DOSATO ESSENZA CLARABELLA;vendemmia 2015;
V168;;"FRANCIACORTA DOCG NON DOSATO MILLESIMATO ""180"" CLARABELLA";vendemmia 2011;
V169;Rosè;"FRANCIACORTA DOCG ROSE MILLESIMATO ""ANNALISA FAIFER"" CLARABELLA";2015;
V170;Bianco;"CURTEFRANCA DOC ""CESARE CANTU'"" CLARABELLA";vendemmia 2013;
V171;Bianco;"BIANCO ""TENUTA I PERINELLI"" CLARABELLA";;
V172;Rosso;"ROSSO ""TENUTA I PERINELLI"" CLARABELLA";;
